lr-AdamW/pg1,lr-AdamW/pg2,step,train_reg_loss_traj_propose_step,train_reg_loss_traj_refine_step,train_loss_step,epoch,val_reg_loss_traj_propose,val_reg_loss_traj_refine,val_loss,val_minJointADE,val_minJointFDE,train_reg_loss_traj_propose_epoch,train_reg_loss_traj_refine_epoch,train_loss_epoch
0.000125,0.000125,0,,,,,,,,,,,,
,,49,3.8130879402160645,3.454554319381714,7.267642021179199,0,,,,,,,,
,,99,6.018438816070557,5.439604759216309,11.458044052124023,0,,,,,,,,
,,149,7.750731468200684,6.501491546630859,14.252223014831543,0,,,,,,,,
,,199,5.7734222412109375,4.575829029083252,10.349250793457031,0,,,,,,,,
,,249,5.040931701660156,3.992622137069702,9.033554077148438,0,,,,,,,,
,,299,1.5537759065628052,1.2078843116760254,2.761660099029541,0,,,,,,,,
,,349,5.34205961227417,3.4200313091278076,8.762090682983398,0,,,,,,,,
,,399,3.7597179412841797,2.4565701484680176,6.216288089752197,0,,,,,,,,
,,449,4.0812296867370605,2.908113718032837,6.989343643188477,0,,,,,,,,
,,499,2.7821381092071533,1.8978039026260376,4.6799421310424805,0,,,,,,,,
,,549,5.15275239944458,3.0596377849578857,8.212389945983887,0,,,,,,,,
,,599,2.055365800857544,1.444374680519104,3.4997406005859375,0,,,,,,,,
,,649,3.1179988384246826,1.829412817955017,4.94741153717041,0,,,,,,,,
,,699,3.5749828815460205,1.9155970811843872,5.490580081939697,0,,,,,,,,
,,749,2.6945183277130127,1.5595474243164062,4.25406551361084,0,,,,,,,,
,,799,3.942441701889038,1.875796914100647,5.818238735198975,0,,,,,,,,
,,849,2.9798803329467773,1.6813932657241821,4.66127347946167,0,,,,,,,,
,,899,1.7067030668258667,0.9818340539932251,2.688537120819092,0,,,,,,,,
,,949,1.5539579391479492,0.7078155875205994,2.2617735862731934,0,,,,,,,,
,,999,0.8263708353042603,0.4840394854545593,1.3104102611541748,0,,,,,,,,
,,1049,2.646557569503784,1.1031725406646729,3.749730110168457,0,,,,,,,,
,,1099,3.1548991203308105,1.3996487855911255,4.5545477867126465,0,,,,,,,,
,,1149,1.888179898262024,0.7781982421875,2.6663780212402344,0,,,,,,,,
,,1199,0.3824831545352936,0.32818764448165894,0.7106708288192749,0,,,,,,,,
,,1249,4.306410312652588,2.9134867191314697,7.219897270202637,0,,,,,,,,
,,1299,1.732366919517517,0.9122841954231262,2.644651174545288,0,,,,,,,,
,,1349,1.962146520614624,1.0166494846343994,2.9787960052490234,0,,,,,,,,
,,1399,1.4227938652038574,1.0027409791946411,2.425534725189209,0,,,,,,,,
,,1449,1.9292453527450562,1.1114490032196045,3.040694236755371,0,,,,,,,,
,,1499,4.334346294403076,2.74973726272583,7.084083557128906,0,,,,,,,,
,,1549,1.893173336982727,0.9237502813339233,2.8169236183166504,0,,,,,,,,
,,1599,0.47033917903900146,0.44863608479499817,0.9189752340316772,0,,,,,,,,
,,1649,8.37009334564209,4.855381965637207,13.225475311279297,0,,,,,,,,
,,1699,5.508313179016113,2.799400806427002,8.307714462280273,0,,,,,,,,
,,1749,0.7305192947387695,0.6249562501907349,1.3554755449295044,0,,,,,,,,
,,1799,0.5757149457931519,0.5332860350608826,1.1090009212493896,0,,,,,,,,
,,1849,1.630036473274231,0.6303281188011169,2.260364532470703,0,,,,,,,,
,,1899,1.690189242362976,0.9798690676689148,2.670058250427246,0,,,,,,,,
,,1949,0.8710757493972778,0.6237139105796814,1.4947896003723145,0,,,,,,,,
